batch_id,test_date,drug_id,drug_name,supplier_id,supplier_name,purity_pct,contamination_ppm,dissolution_min,moisture_pct,sterility_pass,overall_pass,quality_trend,iso_prediction,iso_score,is_iso_anomaly,is_spc_anomaly,num_violations,violated_metrics,is_anomaly
BAT00001,2021-01-01,DRG001,Lisinopril,SUP001,Aurobindo API Ltd,87.21,5.97,32.4,1.48,True,False,stable,1,0.10804650322112408,False,False,0.0,,False
BAT00170,2021-01-01,DRG003,Atorvastatin Calcium,SUP002,Cipla Chemical Works,91.3,4.95,31.4,1.69,True,False,stable,1,0.13895078063988692,False,False,0.0,,False
BAT01137,2021-01-01,DRG009,Azithromycin,SUP010,Novartis API GmbH,97.92,1.81,25.0,1.46,True,True,stable,-1,-0.00039036389861368814,True,False,0.0,,True
BAT01307,2021-01-01,DRG005,Glimepiride,SUP014,Euroapi France,93.44,2.93,30.4,1.96,True,False,stable,1,0.1073422226241651,False,False,0.0,,False
BAT00469,2021-01-02,DRG014,Pantoprazole Sodium,SUP004,Laurus Labs Synthesis,86.19,7.12,36.4,1.98,True,False,declining,1,0.09526811238302407,False,False,0.0,,False
BAT01928,2021-01-03,DRG008,Amoxicillin Trihydrate,SUP025,Lupin API Division,89.03,5.13,29.1,1.24,True,False,stable,1,0.05627690840324445,False,False,0.0,,False
BAT01431,2021-01-04,DRG010,Ciprofloxacin HCl,SUP015,Polpharma API Poland,91.72,4.49,32.8,1.67,True,False,stable,1,0.1451740206814101,False,False,0.0,,False
BAT01512,2021-01-04,DRG015,Sertraline HCl,SUP016,Pfizer CentreOne API,97.47,1.09,30.9,1.88,True,True,stable,1,0.06648942545722791,False,False,0.0,,False
BAT00447,2021-01-05,DRG010,Ciprofloxacin HCl,SUP004,Laurus Labs Synthesis,87.55,7.56,35.1,2.33,True,False,declining,1,0.06431614263560903,False,False,0.0,,False
BAT00267,2021-01-05,DRG016,Escitalopram Oxalate,SUP002,Cipla Chemical Works,91.25,5.23,30.5,1.83,True,False,stable,1,0.11883537803257727,False,False,0.0,,False
BAT01044,2021-01-05,DRG007,Acetaminophen (Paracetamol),SUP009,Shandong Xinhua API,80.41,9.27,35.9,1.93,True,False,stable,1,0.05427309283633314,False,False,0.0,,False
BAT01839,2021-01-06,DRG015,Sertraline HCl,SUP024,Fermion Oy Finland,94.34,2.71,31.3,1.67,True,False,stable,1,0.11867057742924131,False,False,0.0,,False
BAT00146,2021-01-06,DRG001,Lisinopril,SUP002,Cipla Chemical Works,91.19,4.99,33.0,1.73,True,False,stable,1,0.14636480739612245,False,False,0.0,,False
BAT00069,2021-01-07,DRG008,Amoxicillin Trihydrate,SUP001,Aurobindo API Ltd,88.09,5.73,39.3,1.89,True,False,stable,1,0.09172097973881721,False,False,0.0,,False
BAT00382,2021-01-07,DRG015,Sertraline HCl,SUP003,Dr Reddy's API Division,91.57,4.2,33.0,1.82,True,False,stable,1,0.13788733584095964,False,False,0.0,,False
BAT01840,2021-01-08,DRG015,Sertraline HCl,SUP024,Fermion Oy Finland,96.23,2.68,29.1,1.81,True,True,stable,1,0.07650880308721442,False,False,0.0,,False
BAT00019,2021-01-08,DRG002,Amlodipine Besylate,SUP001,Aurobindo API Ltd,88.7,5.93,34.0,2.22,True,False,stable,1,0.08996440694010283,False,False,0.0,,False
BAT00217,2021-01-08,DRG009,Azithromycin,SUP002,Cipla Chemical Works,89.58,4.71,36.7,2.11,True,False,stable,1,0.10355646367522103,False,False,0.0,,False
BAT01290,2021-01-09,DRG017,Oseltamivir Phosphate,SUP013,Lonza Pharma Ingredients,98.72,1.34,31.0,2.3,True,True,stable,-1,-0.014468776992814347,True,False,0.0,,True
BAT00250,2021-01-14,DRG014,Pantoprazole Sodium,SUP002,Cipla Chemical Works,91.12,4.7,33.1,1.91,True,False,stable,1,0.14208221837280932,False,False,0.0,,False
BAT00357,2021-01-14,DRG013,Omeprazole,SUP003,Dr Reddy's API Division,89.51,4.5,37.2,1.09,True,False,stable,1,0.05360359533617132,False,False,0.0,,False
BAT00470,2021-01-14,DRG014,Pantoprazole Sodium,SUP004,Laurus Labs Synthesis,84.93,7.78,31.2,1.76,True,False,declining,1,0.07397490449825334,False,False,0.0,,False
BAT00675,2021-01-15,DRG004,Metformin HCl,SUP006,Zhejiang Pharma Chemical,82.72,8.17,35.7,1.78,True,False,stable,1,0.10758842859042383,False,False,0.0,,False
BAT01356,2021-01-15,DRG001,Lisinopril,SUP015,Polpharma API Poland,91.15,4.8,24.9,1.28,True,False,stable,1,0.011909044821246217,False,False,0.0,,False
