supplier_id,supplier_name,country,region,on_time_rate,avg_lead_time_days,lead_time_variability,total_orders,total_volume_kg,avg_purity,purity_std,avg_contamination_ppm,batch_pass_rate,sterility_fail_rate,quality_trend_slope,num_batches,total_incidents,severe_incidents,fda_warnings,fda_inspections_failed,incident_score,avg_resolution_days,unresolved_incidents,geo_risk_score,fda_approved,years_active,capacity_tons_year,risk_score,risk_tier,delivery_risk,quality_risk,incident_risk,geo_regulatory_risk
SUP001,Aurobindo API Ltd,India,Asia,0.798,65.6,10.1,332,278400,88.03,0.76,6.02,0.0,0.028,0.1073,145,3,0,0,0,5,15.0,1,0.35,1,15,5000,42.6,Moderate,53.4,47.9,7.0,63.1
SUP002,Cipla Chemical Works,India,Asia,0.732,67.8,9.5,373,289000,90.02,0.82,5.0,0.0,0.008,-0.0716,133,5,1,0,0,8,40.0,1,0.35,1,22,8000,45.3,High,59.6,44.8,22.2,57.7
SUP003,Dr Reddy's API Division,India,Asia,0.753,67.6,9.7,296,221950,91.03,0.75,4.51,0.0,0.016,0.1069,128,4,1,1,0,6,12.8,0,0.35,1,18,6000,47.2,High,57.7,40.2,33.7,60.8
SUP004,Laurus Labs Synthesis,India,Asia,0.772,66.3,9.4,285,196950,82.78,2.11,9.12,0.0,0.075,-2.1773,93,6,2,0,0,13,51.2,0,0.35,1,10,3000,64.1,High,53.1,88.4,40.9,66.9
SUP005,Divi's Laboratories API,India,Asia,0.782,65.9,10.4,409,311900,92.98,0.82,3.48,0.0,0.027,-0.021,148,1,1,0,1,3,73.0,1,0.35,1,25,7000,39.7,Moderate,57.5,36.5,13.5,55.4
SUP006,Zhejiang Pharma Chemical,China,Asia,0.722,67.5,10.6,349,271950,83.09,0.9,8.5,0.0,0.007,0.1683,151,7,3,1,1,14,43.4,0,0.35,1,12,12000,64.7,High,67.4,60.0,67.6,65.4
SUP007,Huahai Pharmaceutical API,China,Asia,0.711,66.9,10.6,173,148300,80.02,0.12,11.95,0.0,0.027,-0.0448,75,13,3,2,0,24,40.7,0,0.35,0,8,15000,85.6,Critical,69.1,73.8,100.0,98.5
SUP008,CSPC Pharma Intermediates,China,Asia,0.765,66.1,10.3,289,223400,83.96,0.8,7.99,0.0,0.007,-0.0338,135,7,1,0,1,11,23.9,1,0.35,1,14,10000,52.7,High,59.4,59.9,27.4,63.8
SUP009,Shandong Xinhua API,China,Asia,0.785,66.3,8.9,172,136700,81.04,0.64,9.49,0.0,0.013,0.0382,76,9,2,1,0,16,35.7,1,0.35,0,6,8000,69.9,Critical,48.3,66.7,61.1,100.0
SUP010,Novartis API GmbH,Switzerland,Europe,0.82,31.3,4.6,377,287050,96.95,0.69,1.49,0.992,0.008,-0.1035,130,2,0,0,0,3,25.0,0,0.1,1,30,4000,10.4,Low,18.2,7.4,3.5,14.5
SUP011,BASF Pharma Solutions,Germany,Europe,0.789,31.9,4.6,71,53300,95.82,1.04,1.94,0.686,0.029,0.1994,35,1,0,0,0,1,13.0,0,0.1,1,35,6000,11.0,Low,22.7,12.8,0.0,10.7
SUP012,Siegfried AG Pharma,Switzerland,Europe,0.831,31.5,4.3,130,108450,95.14,0.69,2.57,0.4,0.08,-0.1218,25,2,0,0,0,3,23.0,1,0.1,1,28,3000,15.2,Low,14.8,24.4,3.5,16.0
SUP013,Lonza Pharma Ingredients,Switzerland,Europe,0.777,31.6,5.0,103,96000,98.08,0.8,1.05,1.0,0.0,-0.1203,32,1,1,0,0,3,117.0,0,0.1,1,40,2500,11.9,Low,26.8,4.7,13.5,6.8
SUP014,Euroapi France,France,Europe,0.75,31.7,5.0,168,137050,94.11,0.88,2.97,0.061,0.02,-0.0588,49,1,0,0,0,1,4.0,0,0.1,1,20,3500,21.6,Low,30.8,32.9,0.0,22.2
SUP015,Polpharma API Poland,Poland,Europe,0.792,31.5,4.7,312,242600,91.02,0.82,4.48,0.0,0.016,0.0334,124,6,0,0,0,10,24.5,0,0.1,1,16,4000,27.1,Moderate,22.9,41.0,15.7,25.3
SUP016,Pfizer CentreOne API,USA,North America,0.841,13.4,2.0,226,191150,98.07,0.8,1.01,0.958,0.042,-0.1273,71,1,1,1,0,3,50.0,0,0.08,1,45,5000,8.8,Low,0.0,5.6,28.5,0.0
SUP017,Thermo Fisher Pharma,USA,North America,0.79,13.7,2.2,167,149700,96.93,0.7,1.51,0.983,0.017,0.2883,59,1,0,0,0,1,6.0,0,0.08,1,30,3000,5.6,Low,8.6,3.2,0.0,11.5
SUP018,Cambrex API Corp,USA,North America,0.828,13.6,2.0,58,43400,94.91,0.92,2.48,0.5,0.0,0.1478,10,6,1,1,0,12,46.2,0,0.08,1,25,2000,21.1,Low,1.9,19.6,44.1,15.4
SUP019,Curia Global API,USA,North America,0.5,14.0,10.0,0,0,90.0,2.0,3.0,0.8,0.05,0.0,0,2,0,0,0,2,4.5,0,0.08,1,18,2500,32.2,Moderate,96.5,24.4,1.7,20.8
SUP020,Teva API Israel,Israel,Middle East,0.789,44.5,6.2,284,226650,92.94,0.77,3.47,0.0,0.009,-0.0985,106,2,0,0,0,4,33.5,0,0.25,1,35,6000,27.2,Moderate,32.0,37.5,5.2,32.9
SUP021,Aspen Pharmacare API,South Africa,Africa,0.75,57.4,8.1,104,70950,86.81,0.85,6.55,0.0,0.0,-0.1141,51,3,1,1,0,6,37.7,0,0.3,1,12,2000,48.7,High,48.8,53.5,33.7,58.0
SUP022,Cristalia Brazil API,Brazil,South America,0.81,49.1,7.1,63,44750,82.29,2.26,9.14,0.0,0.077,-2.3346,26,8,2,1,0,14,39.1,0,0.28,0,10,1500,70.2,Critical,34.2,91.1,57.6,86.6
SUP023,Mylan API Japan,Japan,Asia,0.737,66.8,9.9,167,117700,95.89,0.91,2.05,0.778,0.0,-0.1328,36,2,0,0,0,2,2.5,0,0.35,1,20,3000,31.9,Moderate,61.2,14.8,1.7,59.2
SUP024,Fermion Oy Finland,Finland,Europe,0.75,31.6,4.4,60,58350,95.08,0.96,2.54,0.45,0.0,-0.3896,20,6,2,1,0,13,47.2,0,0.1,1,22,1500,32.6,Moderate,27.3,26.5,55.9,20.7
SUP025,Lupin API Division,India,Asia,0.754,67.2,9.6,232,172750,89.07,0.83,5.48,0.0,0.018,-0.1075,114,7,2,2,0,11,35.1,0,0.35,1,13,4000,58.7,High,56.9,47.7,67.4,64.6
