date,commodity_index,usd_inr_rate,usd_cny_rate,usd_eur_rate
2021-01-03,98.95,73.56,6.35,0.84
2021-01-10,99.26,74.22,6.43,0.87
2021-01-17,99.59,74.4,6.49,0.86
2021-01-24,100.47,73.56,6.37,0.84
2021-01-31,101.01,74.52,6.42,0.85
2021-02-07,102.05,74.42,6.35,0.84
2021-02-14,102.59,75.0,6.5,0.84
2021-02-21,103.34,74.41,6.46,0.86
2021-02-28,105.42,74.6,6.41,0.84
2021-03-07,106.0,74.73,6.44,0.86
2021-03-14,106.62,75.29,6.5,0.85
2021-03-21,108.9,73.73,6.38,0.86
2021-03-28,109.05,73.91,6.42,0.86
2021-04-04,110.42,74.7,6.48,0.87
2021-04-11,111.53,74.99,6.52,0.86
2021-04-18,110.83,74.04,6.5,0.87
2021-04-25,110.93,74.89,6.41,0.86
2021-05-02,111.35,74.6,6.54,0.86
2021-05-09,111.95,74.39,6.55,0.87
2021-05-16,111.11,75.01,6.55,0.86
2021-05-23,110.21,75.51,6.5,0.86
2021-05-30,110.61,76.14,6.48,0.85
2021-06-06,109.44,76.33,6.59,0.86
2021-06-13,108.79,75.95,6.49,0.83
2021-06-20,107.23,75.55,6.53,0.86
2021-06-27,106.13,75.39,6.57,0.86
2021-07-04,105.5,75.57,6.6,0.86
2021-07-11,104.94,75.63,6.5,0.86
2021-07-18,104.62,76.17,6.61,0.87
2021-07-25,104.1,76.47,6.52,0.88
2021-08-01,104.44,75.15,6.59,0.86
2021-08-08,105.08,75.64,6.59,0.87
2021-08-15,104.2,76.32,6.57,0.86
2021-08-22,102.6,75.84,6.5,0.87
2021-08-29,102.72,75.76,6.52,0.89
2021-09-05,103.39,76.6,6.63,0.88
2021-09-12,102.68,75.82,6.61,0.88
2021-09-19,102.41,76.46,6.62,0.86
2021-09-26,103.24,76.03,6.58,0.87
2021-10-03,104.25,77.36,6.58,0.86
2021-10-10,104.82,76.93,6.63,0.86
2021-10-17,105.12,76.2,6.59,0.87
2021-10-24,105.07,76.56,6.64,0.86
2021-10-31,105.66,76.77,6.56,0.87
2021-11-07,106.2,76.33,6.63,0.87
2021-11-14,107.27,76.44,6.59,0.87
2021-11-21,108.18,77.07,6.65,0.88
2021-11-28,107.71,76.71,6.59,0.88
2021-12-05,108.27,76.07,6.71,0.88
2021-12-12,110.02,77.11,6.57,0.89
2021-12-19,108.84,77.37,6.71,0.85
2021-12-26,108.52,76.78,6.65,0.87
2022-01-02,108.48,76.61,6.7,0.88
2022-01-09,109.77,77.72,6.7,0.85
2022-01-16,110.13,77.19,6.65,0.89
2022-01-23,110.96,77.13,6.66,0.87
2022-01-30,112.07,77.19,6.74,0.87
2022-02-06,113.14,78.02,6.7,0.88
2022-02-13,113.25,77.48,6.68,0.87
2022-02-20,113.59,77.63,6.68,0.89
2022-02-27,113.98,77.38,6.7,0.88
2022-03-06,115.79,77.53,6.8,0.89
2022-03-13,116.06,77.42,6.79,0.89
2022-03-20,116.93,77.88,6.81,0.88
2022-03-27,117.82,77.14,6.81,0.87
2022-04-03,118.97,77.87,6.7,0.9
2022-04-10,119.9,77.62,6.74,0.86
2022-04-17,120.13,77.61,6.71,0.88
2022-04-24,120.69,78.15,6.79,0.89
2022-05-01,122.83,77.98,6.75,0.87
2022-05-08,122.39,77.54,6.74,0.87
2022-05-15,122.14,77.65,6.74,0.88
2022-05-22,121.42,78.25,6.73,0.89
2022-05-29,121.81,77.82,6.81,0.86
2022-06-05,121.74,77.44,6.81,0.89
2022-06-12,121.26,78.74,6.75,0.88
2022-06-19,121.72,77.77,6.84,0.89
2022-06-26,121.15,78.26,6.81,0.88
2022-07-03,122.75,78.04,6.75,0.88
